    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26
17  0,  13,   0,  15,  15,  15,   0,   0,   0,  10,  10,  11,  11,  11,  10,  10,   0,  15,   0,  15,   0,   0,   0,  10,  10,  10,   0,
18  0,  10,   0,  15,   0,  15,   0,   0,   0,  10,  10,  11,  11,  11,  10,  10,   0,   0,   0,  15,   0,   0,   0,  10,  10,  10,   0,
19  0,  13,   0,   0,   0,  15,   0,   0,   0,  10,  10,  11,  11,  11,  11,  10,  11,  11,   0,  15,   0,  11,  11,  10,  11,  10,   0,
20  0,  10,  11,  11,   0,  15,   0,  11,  11,  10,  11,  11,  11,  11,  11,  10,  10,  10,  10,  11,  10,  10,  11,  10,  10,  11,   0,
21  0,  13,  10,  10,  13,  12,  13,  10,  10,  13,  11,  11,  11,  11,  11,  13,   0,   0,  10,  11,  10,   0,   0,  10,  13,  10,   0,
22  0,  13,  10,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  10,  10,  10,  13,   0,
23  0,  10,  10,  10,  10,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  10,  10,  13,  11,   0,
24  0,   0,   0,   0,  10,   0,   0,   0,   0,  10,  11,  11,  11,  11,  10,  13,  13,   0,   0,   0,  10,   0,   0,   0,  10,  10,   0,
25  0,   0,   0,   0,  11,   0,   0,   0,  10,  10,  10,  11,  11,  11,  10,  13,  10,   0,   0,  15,  15,  15,   0,   0,  10,  10,   0,
26  0,  15,   0,   0,  15,  15,   0,   0,  10,  13,  10,  11,  11,  11,  10,  10,  10,   0,  15,  15,  15,   0,   0,   0,  10,  10,   0,
27  0,  15,  15,  15,  15,   0,   0,   0,  10,  13,  10,  11,  11,  11,  10,  13,  10,   0,  15,   0,  15,   0,   0,   0,  10,  10,   0,
28  0,  15,  15,  15,  15,   0,   0,   0,  10,  10,  10,  11,  11,  11,  10,  13,  10,   0,   0,   0,  15,   0,   0,   0,  10,  10,   0,
29  0,  15,   0,  15,  15,   0,   0,   0,  10,  13,  10,  11,  11,  11,  10,  10,  10,  11,  11,   0,  15,   0,  11,  11,  10,  10,   0,
30  0,   0,   0,  15,   0,   0,   0,   0,  10,  13,  10,  11,  11,  11,  10,  13,  10,  10,  10,  10,  12,  10,  10,  10,  10,  10,   0,
31  0,  11,   0,  15,   0,  11,  11,  11,  10,  10,  10,  11,  11,  11,  10,  13,  10,  10,   0,   0,  12,   0,  10,  10,  10,  10,   0,
32  0,  13,  10,  10,  10,  10,  10,  10,  10,  13,  11,  11,  11,  11,  10,  13,   0,   0,   0,  12,  12,  12,   0,   0,   0,   0,   0,
33  0,  13,  10,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  10,  10,  13,   0,
34  0,  13,  10,  10,  10,  10,  10,  10,  11,  11,  11,  10,  11,  11,  11,  11,  11,  11,  10,  10,  10,  10,  10,  10,  10,  10,   0,
35  0,  13,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,   0,   0,   0,   0,   0,  10,   0,
36  0,  13,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,   0,   0,   0,   0,   0,  10,   0,
37  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,  10,  10,  10,  10,   0,  10,   0,
38  0,   0,   0,   0,   0,   0,   0,   0,  10,   0,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,   0,  10,  10,  10,   0,  10,   0,
39  0,   0,  15,   0,   0,  15,   0,   0,  10,   0,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,  10,   0,
40  0,  15,  15,  15,  15,  15,   0,   0,  10,   0,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,  10,  10,  10,  10,   0,  10,   0,
41  0,  15,  15,  15,  15,   0,   0,   0,  10,   0,  10,  10,  10,  10,  10,  10,  10,  10,  10,   0,   0,   0,   0,   0,   0,  10,   0,
42  0,  15,   0,  15,  15,   0,   0,   0,  10,   0,  10,  10,  10,  10,  10,  13,  10,  10,  10,   0,   0,   0,   0,   0,   0,  10,   0,
43  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
